#OTU	A50
OTU_324	0.0
OTU_1017	0.0
OTU_261	0.0
OTU_798	0.0
OTU_289	5.0
OTU_224	0.0
OTU_570	0.0
OTU_698	17.0
OTU_563	0.0
OTU_631	0.0
OTU_495	0.0
OTU_1008	0.0
OTU_385	33.0
OTU_516	0.0
OTU_942	5.0
OTU_335	1.0
OTU_462	1.0
OTU_578	1.0
OTU_317	3.0
OTU_445	0.0
OTU_245	0.0
OTU_653	0.0
OTU_693	0.0
OTU_298	0.0
OTU_351	1.0
OTU_866	0.0
OTU_428	0.0
OTU_270	0.0
OTU_246	1.0
OTU_587	5.0
OTU_970	0.0
OTU_925	0.0
OTU_568	5.0
OTU_156	38.0
OTU_928	0.0
OTU_834	0.0
OTU_943	3.0
OTU_470	1.0
OTU_486	2.0
OTU_359	0.0
OTU_527	0.0
OTU_917	10.0
OTU_677	0.0
OTU_493	5.0
OTU_815	0.0
OTU_411	8.0
OTU_519	5.0
OTU_622	7.0
OTU_1075	0.0
OTU_886	0.0
OTU_861	3.0
OTU_469	11.0
OTU_418	0.0
OTU_276	1.0
OTU_773	0.0
OTU_766	4.0
OTU_1118	0.0
OTU_754	3.0
OTU_426	0.0
OTU_1068	10.0
OTU_294	0.0
OTU_476	0.0
OTU_819	0.0
OTU_1006	0.0
OTU_152	3.0
OTU_481	12.0
OTU_325	2.0
OTU_729	1.0
OTU_475	0.0
OTU_662	6.0
OTU_312	0.0
OTU_594	7.0
OTU_506	0.0
OTU_181	3.0
OTU_479	0.0
OTU_707	0.0
OTU_931	0.0
OTU_422	42.0
OTU_1097	1.0
OTU_439	1.0
OTU_552	0.0
OTU_579	5.0
OTU_661	2.0
OTU_1062	10.0
OTU_539	0.0
OTU_562	0.0
OTU_1047	0.0
OTU_915	0.0
OTU_853	0.0
OTU_332	0.0
OTU_500	1.0
OTU_775	0.0
OTU_394	11.0
OTU_480	2.0
OTU_782	0.0
OTU_580	13.0
OTU_975	0.0
OTU_998	1.0
OTU_1102	1.0
OTU_745	0.0
OTU_1131	0.0
OTU_420	0.0
OTU_903	0.0
OTU_859	2.0
OTU_913	0.0
OTU_406	2.0
OTU_744	0.0
OTU_501	60.0
OTU_845	0.0
OTU_1066	3.0
OTU_255	2.0
OTU_425	18.0
OTU_876	0.0
OTU_265	12.0
OTU_924	0.0
OTU_1032	0.0
OTU_758	0.0
OTU_1083	0.0
OTU_541	0.0
OTU_828	15.0
OTU_1135	13.0
OTU_686	1.0
OTU_922	0.0
OTU_373	0.0
OTU_1024	0.0
OTU_465	0.0
OTU_911	0.0
OTU_787	4.0
OTU_784	10.0
OTU_446	20.0
OTU_605	0.0
OTU_738	1.0
OTU_644	2.0
OTU_440	20.0
OTU_604	0.0
OTU_803	4.0
OTU_499	0.0
OTU_360	3.0
OTU_220	1.0
OTU_904	0.0
