SampleID	Count	Purity	ASV	Taxonomy	Count2	Purity2	ASV2	Taxonomy2
L1P44C4	131	100	ASV_254	Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Unassigned;Unassigned	0	NA	NA	NA
L2P43F1	96	100	ASV_256	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas;Unassigned	0	NA	NA	NA
L2P26H1	53	84.13	ASV_256	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas;Unassigned	8	12.7	ASV_117	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Unassigned
L2P03B10	63	100	ASV_257	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Unassigned	0	NA	NA	NA
L2P38G11	56	100	ASV_257	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Unassigned	0	NA	NA	NA
L2P39B1	28	100	ASV_257	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Unassigned	0	NA	NA	NA
L1P32E2	18	100	ASV_257	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Unassigned	0	NA	NA	NA
L1P33G9	132	100	ASV_258	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Unassigned;Unassigned	0	NA	NA	NA
L1P42E7	138	100	ASV_259	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas_aestuarii	0	NA	NA	NA
L1P45C4	123	100	ASV_260	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Unassigned;Unassigned	0	NA	NA	NA
L2P21C5	90	100	ASV_261	Proteobacteria;Betaproteobacteria;Unassigned;Unassigned;Unassigned;Unassigned	0	NA	NA	NA
L2P32A1	46	100	ASV_261	Proteobacteria;Betaproteobacteria;Unassigned;Unassigned;Unassigned;Unassigned	0	NA	NA	NA
